Name,Address,Price
Kyle Lester,Macao,13945545
James Burns,Norfolk Island,95611574
Peter Garcia,Gibraltar,798247213
Anthony Downs,Saudi Arabia,68340688
Keith Mitchell,Guatemala,343266812
Priscilla Smith,French Southern Territories,17056160
Stephen Davis,Antigua and Barbuda,349040915
Shawn Robinson,Croatia,686893163
Eugene Pacheco,Oman,181941806
Brian Gray,Greece,264113596
Brandon Kane,Bahrain,401193982
Thomas George,Finland,256909002
Jeremiah Mckay,American Samoa,772536389
David Sullivan,Guinea-Bissau,734106424
Cody James,Faroe Islands,1008263920
Angela Singleton,American Samoa,819736165
Scott Lopez,Bosnia and Herzegovina,989154243
Ruth Byrd,Norfolk Island,418095041
Stacey Watts,Sweden,1116769890
Margaret Wood,Iran,466092431
Kathryn Moore,Cameroon,715548694
Gregory Perez,Serbia,789618178
Mary Gross,Comoros,207341937
Melvin Baker,United States Minor Outlying Islands,1097253091
Bethany Gonzalez,Eritrea,637735595
Mr. Brett Rodriguez,Iraq,485379868
Luke Wallace,Vanuatu,470897313
Barbara Baker,Jamaica,101360969
Joan Page,Netherlands,690466427
Matthew Cook,Namibia,524500861
Howard Jordan,Rwanda,606459275
Karen Dorsey,Niger,581255706
Victoria Smith,Cote d'Ivoire,759879091
James Phillips,Bangladesh,128860784
Danielle Ingram,Svalbard & Jan Mayen Islands,858641633
Wendy Perez,Uzbekistan,704776573
Patrick Black,Kiribati,287188370
Justin Juarez,Antarctica (the territory South of 60 deg S),756998079
Meredith Sawyer,French Guiana,954915295
Victoria Jenkins,Saint Lucia,446984054
Shannon Robinson,Isle of Man,989098577
Matthew Gutierrez,Tunisia,12950439
Rachel Brown,Pitcairn Islands,453351810
Jill Murray,Turks and Caicos Islands,548122643
Robert Kelley,Nauru,152524880
Joe Jarvis DDS,Saint Lucia,1137252358
Amber Lewis,Liberia,51398500
William Gonzales,Cuba,661294294
Gina Vincent,Tunisia,572970951
Curtis Monroe,France,351141596
Katherine George,Afghanistan,192513655
Bonnie Solomon,Turkey,910128812
John Jones,New Zealand,1035871772
Sarah Burton,Northern Mariana Islands,145847255
Rita Webb,Cook Islands,555569930
Victoria Beard,Swaziland,252127218
Diana Porter,Gibraltar,1016218555
Michael Nielsen,Belgium,683586275
Karen Ramirez,Djibouti,447613875
Austin Juarez,Malta,165921099
Nicole Hall,South Georgia and the South Sandwich Islands,366415168
Jason Stephens,Bolivia,567193327
James Harrell,Saint Helena,722979455
Eric Ellis,Ghana,1188631170
Lisa Ross,Puerto Rico,865955679
Deborah Barnes,Burkina Faso,624859567
Robert Finley,Brunei Darussalam,917597011
Jason Martinez,Trinidad and Tobago,579132987
Ronald Sanford,Tokelau,189025521
Caitlin Owen,Nigeria,156887224
Christopher Martin,Mauritania,199251736
Jose James,Cambodia,944688742
Brenda Smith,South Georgia and the South Sandwich Islands,641570716
Joel Mills,Taiwan,1029935548
Richard Mcdonald,Uruguay,630362091
Brittany Harrell,Kazakhstan,1144890267
Darren Adams,Germany,1167804174
Katrina Hahn,Gabon,1087877372
Courtney Simpson,Eritrea,280015467
Kelly Powers,Cayman Islands,334330397
James Zimmerman,Moldova,1037483195
Susan Poole,Suriname,91453251
Angela Miller,France,29813053
Kara Kelley,Israel,695826285
Gregory Brown,Belize,1206252837
Stacy Mccoy,Gabon,999833011
Cynthia Reyes,Puerto Rico,277490648
Gail Villarreal,Turks and Caicos Islands,133153642
Carl Henderson,Malaysia,254146106
Michael Davis,Turkey,1059367810
Grace Carter,Namibia,1137987937
Nicholas Newton,Turks and Caicos Islands,801319261
Amanda Bailey,Isle of Man,1846109
Jonathan White,Liberia,1027735799
Emily Marshall,Honduras,412863850
Allen Cline,Cyprus,1009591526
Timothy Robinson,Serbia,763888214
Angela Atkins,Bhutan,1194206443
Andrea Charles,Lebanon,163688145
William Cole,Congo,913864441
Sean Rivera,Gibraltar,50891667
James Brewer,Germany,221862628
Nicole Smith,Burkina Faso,1177179732
Kathleen Green,North Macedonia,369893975
Justin White,Oman,603146492
Austin Perez,Portugal,595204363
Jennifer Robertson,Croatia,1067234624
Lisa Spencer,American Samoa,266728534
Mariah Young,Comoros,150834192
Adrian Coleman,Malawi,3409652
Travis Cooper,Northern Mariana Islands,966515653
Adam Giles,Saudi Arabia,881265511
Brian Spence,Marshall Islands,155692316
Leonard Maddox,Gabon,803364484
Christopher Moon,Algeria,1167825730
Jacqueline Ritter,Tanzania,62385814
Nichole Peterson,Papua New Guinea,671078970
Devon Wong,Kyrgyz Republic,362141037
Peggy Jones,Iraq,719576662
Eddie Smith,Serbia,65922432
Shane Garcia,Latvia,274715606
Caleb Taylor,Thailand,898087384
Shelby Anderson,Hungary,418947011
Daniel Crawford,Romania,638530780
Kenneth Henson,Suriname,88078614
Kevin Wheeler,Puerto Rico,673957954
Heather Walker,French Guiana,948254582
Kevin Mason,Jamaica,8574674
Jenna Larsen,Morocco,583536999
Dwayne Johnson,Monaco,949279286
Sarah Hurst,Myanmar,405922180
Victoria Mitchell,Congo,23404934
Regina Rogers,Bolivia,1059206629
Julia Riggs,Nigeria,48393527
Matthew Cooke,American Samoa,1084070907
William Graves,Seychelles,849586832
Angel Baldwin,Bulgaria,320473231
Matthew Miller,Nepal,1192205034
George Sparks,Togo,231794637
Sarah Norman,Guadeloupe,12307283
Courtney Smith,Mongolia,123667069
Rachel Gibbs,Seychelles,236761112
Anthony Gillespie,Liechtenstein,1170565778
Stephen Nelson,French Guiana,122201543
Paul Sandoval,Lithuania,492804787
Dawn Mason,Macao,724485484
Jordan White,San Marino,805143075
George Johnson,India,150913162
Shannon Rice,Bouvet Island (Bouvetoya),198391783
Albert Murray,Niue,502704337
Christopher Carter,Timor-Leste,433895353
Kevin Price,Paraguay,93530141
Todd Alvarado,Qatar,844998413
Jonathan Joseph,Ecuador,65792868
Dean Snow,Suriname,492221679
Curtis Henderson,Zambia,682346121
Matthew Nicholson,Libyan Arab Jamahiriya,720725620
April Joseph MD,Central African Republic,806265957
Deborah Jones,Mongolia,979051265
Robert Ross,Chad,200760998
Jason Le,Marshall Islands,949975114
Allison Torres,Gambia,458701491
Kyle Warren,Suriname,69306115
Steve Simpson,Cayman Islands,558362282
Mary Walters,Mongolia,1196991403
Jesus Powell,Nicaragua,357302077
Heather Velasquez,Samoa,917262645
Dawn Lopez,Chile,746893633
Jean Frank,Malaysia,657583353
Rhonda Watkins,Mozambique,840339827
Alexis Stewart,Trinidad and Tobago,1012683679
Joseph Valdez,Colombia,220104877
Jennifer Johnson,Qatar,549668584
Brandon Murphy,Zambia,722190955
Brett Carr,Vanuatu,285397104
Robert Le,Bhutan,1127081982
Dale Moore,Mayotte,1158486571
Steven Graham,Central African Republic,1125877576
Theresa Martin,Spain,1179122947
Keith Hardin,Angola,1072654439
Stephen Frank,Anguilla,389116836
Amanda Martinez,Argentina,785736713
Sarah Wilson,Montserrat,960623428
Justin Bauer,Isle of Man,510812413
Charles Young,New Zealand,433552613
Christopher Hanson,Italy,331550019
Theresa Zimmerman,Ecuador,529242808
John Reynolds,Bahamas,276767472
Edward Whitehead,Wallis and Futuna,832517826
Crystal Martinez,Brunei Darussalam,158098597
Randy Adams,India,296842136
Dr. Christopher Brown,Gibraltar,787547815
Sharon Thompson,Moldova,653872400
Anthony Morales,Hong Kong,95446611
Michael Gomez,Niue,896206027
Priscilla Ashley,Netherlands,1013003926
Darren Wagner,Czech Republic,506166110
Sara Frank,Iceland,511571268
Natasha Davenport,France,130381145
Dustin Holland,Central African Republic,886174993
Andrew Martinez,Guyana,113442316
Kathleen Johnson,Norway,556110997
Shirley Zamora,Somalia,716693649
Christina Savage,San Marino,679274053
John Ferguson,Chile,1011278215
Megan Miller,Russian Federation,1065674038
Tricia Lester,Taiwan,465120035
Breanna Gordon,Hungary,486585671
William Larsen,Venezuela,270437763
Jeffrey Gonzalez,Saint Kitts and Nevis,160163375
Edgar Hardin,China,1180100868
Ashley Sexton,Micronesia,1113648176
Marc Moore,Malta,99192569
Blake Martinez,United Kingdom,246923013
Jeffrey Middleton,Saint Helena,1103925359
Nathan Klein,Antarctica (the territory South of 60 deg S),855327293
Stacy Lee,Brazil,874184365
Heather Snyder,Albania,759283617
Jennifer Dixon MD,Zimbabwe,792833606
Jerome Molina,Namibia,22022734
Shelly Reyes,Sri Lanka,243571058
Todd Newman,United States Virgin Islands,86638973
Janet Mendoza,Saudi Arabia,1004775655
Sherri Marshall,Timor-Leste,248963747
Michelle Turner,Solomon Islands,708327954
Joshua Prince,Iceland,502026954
Nicole Macdonald,Sweden,764152883
Brooke Strickland,Tuvalu,1182409291
Danielle Johnson,Georgia,305469362
Kyle Willis,Peru,825005108
Mark Myers,Uganda,550224342
Kyle Williams,Malawi,686913943
Kevin Blackburn,Paraguay,527370222
Charles Turner,Saint Helena,778123520
Tiffany Blair DVM,Bermuda,669232094
Susan Blair PhD,Belarus,1180135214
Julie Romero,Barbados,512742661
Chris Fields,Mexico,969900453
Rose Gordon,Congo,1094079179
Amanda Hamilton,Singapore,419545046
Michelle Alvarez,Jamaica,1140208716
Randy Watts,Mexico,3631122
Cynthia Lewis,Bouvet Island (Bouvetoya),830837854
Taylor Burch,Afghanistan,275833409
Daniel Chavez,Guatemala,929563533
Angel Livingston,Eritrea,153614023
Amanda Harper,Iraq,763638974
Maria Poole,Solomon Islands,617103826
Andrew Allen,Mali,138705755
Haley Ruiz,Saint Vincent and the Grenadines,1029121293
Kimberly Wade,Singapore,355166923
Daniel Bright,Kiribati,1000357432
Jordan Carter,Bermuda,119569444
Sarah Carter,Guyana,135671840
Adam Gregory,Papua New Guinea,544531
Andrew Wood,Portugal,694034897
Carolyn Williams,Nauru,745246547
Melissa Pacheco,Cape Verde,358488031
Angela Hurst,Maldives,1131532835
Melissa Lane,Seychelles,912978553
Julie Hamilton,Myanmar,610081248
Steven Bradley,Saint Lucia,843748748
Eugene Pacheco,Madagascar,641144458
Erik Sullivan,Ukraine,1086205820
Jessica Ellis,Botswana,390405083
Austin Haynes,Sao Tome and Principe,94811731
Mary Mckinney,Guinea,128414045
Justin Hoffman,Venezuela,773261181
Ellen Welch,Svalbard & Jan Mayen Islands,204996745
Albert Rodriguez,Nauru,471478455
Eugene Delgado,Iran,794349409
Kyle Holland,Aruba,1191715398
Lee Dennis,Chad,561603371
Charles Frazier,Guam,893948193
Steven Lang,South Africa,446495567
Nicholas Ramos,New Zealand,233164327
Kimberly Vasquez,Ghana,535509543
Connie Wheeler,Kiribati,857708727
Kristen White,Bhutan,632113837
Terri Smith,Heard Island and McDonald Islands,13646764
Robert Robertson,Tokelau,259868836
Joel Nunez,Maldives,979069065
William Green,Yemen,591133042
Jeremy Duncan,Dominica,1071570089
Adam Andersen,Puerto Rico,317828193
Christian Krause,Albania,193500139
Casey Pierce,Georgia,1068919734
Ariel Bass,Sierra Leone,393719763
Kevin Jones,Turkmenistan,227895453
Madison Peters,Palestinian Territory,281149793
Daniel Travis,Germany,1066195943
Alan Downs,Somalia,742086152
Sara Jones,Kiribati,508347950
Thomas Boyer,Liberia,858346941
Sean Castillo,Solomon Islands,456156707
Kathryn Wilson,Bosnia and Herzegovina,1169338527
Marc Powell,Tokelau,1081583056
Jason Davis,Burkina Faso,1182728358
James Foster,Zambia,728639900
Casey Salas,Bangladesh,272301566
Michael May,Canada,192422738
Joshua Mccarthy,Uganda,528886760
Amanda Nelson,Cook Islands,1563227
Connie Hayes,Madagascar,583018726
Michelle Kemp,Germany,681896739
Marie Monroe,Latvia,262221099
Tammy Miranda,Cayman Islands,360252810
Amy Russell MD,Poland,1018554964
Cody Murray,Switzerland,591847576
Sharon Hood,Aruba,571772580
Melissa Dickerson,Guam,839890816
Jennifer Richards,Trinidad and Tobago,306823066
Adam Larson,Seychelles,396589980
Kaitlyn Nguyen,Niger,752930517
Ashley Moran,Liberia,1108404224
Karen Vance,Malawi,859966908
Megan Smith,British Virgin Islands,963032199
Juan Bailey,United States Virgin Islands,1091981682
Bethany Reynolds,Macao,655301009
Aaron Benitez,Seychelles,488245507
Christopher Nguyen,Antarctica (the territory South of 60 deg S),1159696265
Henry Evans,Guyana,554607254
Ms. Erica Cabrera,Sri Lanka,449894282
Gabriela White,Cook Islands,128494934
Ebony Kane,Wallis and Futuna,558891173
Brian Vance,France,984861369
Darlene Thomas,Guinea-Bissau,866480304
Kathy Robertson,China,31672892
Tracy Glass,Uruguay,19582359
Mark Castro,Isle of Man,481258655
Melissa Parker,Cyprus,409978898
Brian Miller,Equatorial Guinea,857975746
Eric Meza,Greenland,896298535
Joseph Davis,Syrian Arab Republic,611740877
Dylan Deleon,Somalia,1209174499
Maria Cannon,Christmas Island,246716297
Kristin Shepard,Congo,1097379506
Christopher Flowers,Saint Lucia,17972564
Felicia Williams,Uzbekistan,982786271
Jean Hall,Sudan,703446037
Meghan Jordan,Bosnia and Herzegovina,912139461
Shannon Parks,Philippines,295454263
Michael Smith,Nigeria,256538927
Heidi Proctor,Hungary,976034805
Miguel Lang,North Macedonia,101711900
James Lutz,Thailand,257107203
Michelle Jones,Sierra Leone,759553438
Michael Lee,Chad,1168148794
Cassie Waters,Germany,1041088946
Brittany Cooper,Jordan,391711469
James Sellers,France,342857388
Jennifer Hampton,Latvia,774707165
Claire Smith,Macao,246425683
Paul Jensen DDS,Aruba,570740064
Belinda Watson,Cyprus,1183320007
Alicia Freeman,Papua New Guinea,205470538
Tanner Joseph,Greece,562911631
Isaac Wilson,Martinique,436247418
Justin Mullins,New Zealand,948110903
Kristy Downs,Jersey,492296508
Jessica Williams,Bouvet Island (Bouvetoya),145188462
Tara Swanson,Congo,10675626
Mr. Michael Hicks,France,783217221
Anna Roberson,Moldova,33117180
Sean Golden,Liechtenstein,158537676
Jordan Anderson,Luxembourg,316029367
Jeffrey Wilkinson,Kyrgyz Republic,141540248
Danielle Gould,British Indian Ocean Territory (Chagos Archipelago),813432502
Marc Stephens,Liechtenstein,584695761
Brad Stanley,Slovakia (Slovak Republic),403658960
Elizabeth Jackson,Niger,897465707
April Wright,Timor-Leste,71794732
Brian Vaughan,Taiwan,705676619
Christina Thomas,Pakistan,1176695061
Brooke Payne,Slovenia,678952503
Samantha Simpson,Cyprus,268495217
Peter Wright,French Southern Territories,401712846
John Fisher,Guam,1033187844
James Rivera,Guam,27752582
Daniel Jones,Nepal,225659017
Samantha Gonzalez,Gabon,376002813
Lawrence Benton,Bermuda,1170820192
Shannon Evans DDS,Germany,451517799
Hannah Cortez,Paraguay,155385433
Meagan Smith,France,1175841455
Savannah Hill,Philippines,163340987
Denise Bennett,Palestinian Territory,317796712
Annette Hernandez,Morocco,888031435
Clifford Quinn,Slovenia,170170021
Jessica Evans,British Indian Ocean Territory (Chagos Archipelago),524405954
Molly Smith,Guyana,214776077
Gabrielle Jackson,Dominica,1509528
Keith Bell,Russian Federation,312687800
Nina Young,Suriname,36990918
Patrick Benitez,Colombia,1155098781
Margaret Schwartz,Hungary,2637874
Stephanie Castaneda,Portugal,610144228
Dennis Martinez,Martinique,40208214
Amber Davila,Fiji,1075220245
Lynn Adams,Tanzania,1202142594
Lucas Terry,Guinea,1021560714
Mitchell Wiley,Turks and Caicos Islands,267966994
Susan Stone,Comoros,518916978
Diane Harris,Tajikistan,617177839
Howard Smith,Pakistan,356372451
Alexis Mueller,Vietnam,300532488
Andrew Schmidt,Trinidad and Tobago,499298249
Mary Wagner,Burundi,1028466985
Brenda Levy,Thailand,288889125
Victor Thomas,Sweden,545744952
Lisa Brown,Brunei Darussalam,58005914
Susan Bates,Iran,630550492
Ian Kim,Dominican Republic,617883987
Jamie Murray,Azerbaijan,362806924
Matthew Schneider,Ecuador,1112818236
Dr. Jonathan Lucero,Singapore,238070347
Deborah Barnes,Saint Lucia,957328277
Claudia Rogers,Rwanda,305275558
William Bauer,Trinidad and Tobago,102608953
Mary Gonzalez,Anguilla,140283194
John Brown,Togo,1015253723
Shane Robinson,Mongolia,1045076204
Amy Lee,Andorra,705536769
Erica Wallace,Georgia,1015840297
Jessica Harmon,Nepal,48907297
Charles Moore,Poland,518926714
Jennifer Scott,Brazil,375394343
Chad Andrade MD,Solomon Islands,874282533
Megan Valdez,Tanzania,898018422
James Mosley,Kuwait,816591671
Matthew Sosa,Palestinian Territory,270909326
Colleen Dunlap,Spain,817092561
Samantha Holland,Algeria,250281257
Alexander Phillips,Iraq,689991604
Nathan Sanchez,Belarus,687083559
Jacob Ali,Haiti,913892057
Patrick Williamson,Isle of Man,474600331
Catherine Charles,Malta,413991858
James Thomas,Spain,312364794
Brooke Wong,Ecuador,460693960
Andrea Schroeder,Moldova,99009333
Dr. Jesse Maddox PhD,Albania,405512184
Paul Douglas,Tokelau,314619167
Joseph Mitchell,Togo,1144212542
Johnny Bell,Egypt,174183443
Monica Rivera,Madagascar,437033926
Megan Robbins,United Kingdom,442789545
David White,Hungary,185912403
Wayne Bishop,Togo,103662756
Stacy Davis,Guinea,949988860
Austin Long,Trinidad and Tobago,202500763
Carlos Johnson,Somalia,564836064
Laura Garcia,Spain,581651130
Derek Henry,Ethiopia,195619603
Megan Lyons,Chile,799095129
Brittany Wright,Andorra,13760768
Dennis Jones,Sao Tome and Principe,1095503219
Zachary Francis,Pitcairn Islands,873234151
Nathan Williams,Saint Lucia,394153363
Laura Dunn,Solomon Islands,710760216
Nicole Foley,South Georgia and the South Sandwich Islands,856709158
Richard Gomez,Netherlands Antilles,767132246
Diana Thomas,Cyprus,551933114
Jason Butler,Ireland,662957264
Lisa Wright,Thailand,461162487
Thomas Hopkins,Congo,751168293
Manuel Lynch,United States Virgin Islands,611033904
Thomas Burns,Falkland Islands (Malvinas),995020924
Frank Lyons,Norway,183460827
Bryan Gray,Norway,424692786
Bradley Sandoval,Niger,1120637726
Frank Phelps,Georgia,716912734
Sarah Smith,Tajikistan,688450999
Jacqueline Walsh DDS,Ghana,1683498
Janet Meyer,Angola,319551918
Kimberly Brewer,Cyprus,212340020
Samuel Vargas,Dominica,1173005806
Sabrina Joseph,Senegal,47472096
Jacob Frazier,San Marino,740145577
Lawrence Garrett,Luxembourg,805573706
Ricardo Johnson,Sweden,138381434
Joseph Richmond,Mongolia,343192111
Alex Taylor,Cape Verde,592720139
Allen Morales,Haiti,1169974814
Robin Wilson,Taiwan,854966878
Glenda Weiss,Switzerland,770069315
Zachary Salazar,Liberia,63243349
Aaron Nunez,Russian Federation,399835450
Frank Ramirez,Sweden,349014958
Teresa Robinson,Panama,27070821
Cory Soto,Faroe Islands,1158125707
Heidi Adams,Mozambique,600789935
Christopher Green,Sweden,331280140
Ricky Thomas,Grenada,108896985
Christopher Johnston,Papua New Guinea,946607014
